"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweetid"
"1553","I'm over here playing league of LEGENDS with my friendo SCOTT POG CHAMP
COME WATCH ",FALSE,2,NA,2017-12-16 07:13:32,FALSE,NA,"941929267578859520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ItsAwesomeJoey",0,FALSE,FALSE,NA,NA,1553
"1554","RT @DaftKid_: @nowvoicethis @FUNimation Here's my #nowvoicethis submission of my favorite character from League of Legends, Ziggs! ",FALSE,0,NA,2017-12-16 07:09:53,FALSE,NA,"941928350989168640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rawrsor",13,TRUE,FALSE,NA,NA,1554
"1555","I imagine this is something I'm late on but WOW, a League of Legends ad popped up when I just pulled up a YT vid an ",FALSE,1,NA,2017-12-16 07:09:53,TRUE,NA,"941928349169053697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GohanOXG",0,FALSE,FALSE,NA,NA,1555
"1556","RT @AceAnimatedBot: Series Source: League Of Legends ",FALSE,0,NA,2017-12-16 07:09:52,FALSE,NA,"941928345259970561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ImShadowWife",26,TRUE,FALSE,NA,NA,1556
"1557","RT @ShareMyCosplay: Click the link! Today's #SMCDaily features a #holiday #LeagueOfLegends shoot by ",FALSE,0,NA,2017-12-16 07:06:33,FALSE,NA,"941927511046459392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShareMyCosplay",5,TRUE,FALSE,NA,NA,1557
"1558","@SombreOCE i dont play league of legends with shoes on",FALSE,0,"SombreOCE",2017-12-16 07:05:06,FALSE,"941927054852874241","941927147609796608","57259326","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pabu22",0,FALSE,FALSE,NA,NA,1558
"1559","RT @ASUS_ROG: 3x world champion, #SKTT1 #Faker, has won the Esports Player of the Year award at this year's The Game Awards! --&gt; ",FALSE,0,NA,2017-12-16 07:04:23,FALSE,NA,"941926964549509120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zahid65338111",156,TRUE,FALSE,NA,NA,1559
"1560","5 man a win half a mill fi play League of Legends",FALSE,0,NA,2017-12-16 07:04:00,FALSE,NA,"941926869934342144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealDJCrooks",0,FALSE,FALSE,NA,NA,1560
"1561","RT @AceAnimatedBot: Series Source: League Of Legends ",FALSE,0,NA,2017-12-16 07:01:33,FALSE,NA,"941926251186368512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palacios_daan",26,TRUE,FALSE,NA,NA,1561
"1562","is the only authentic #LeagueofLegends dating site on Earth #lol ",FALSE,1,NA,2017-12-16 07:00:10,TRUE,NA,"941925902778339329",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","LFGdating",1,FALSE,FALSE,NA,NA,1562
